Albania,tirana
Alemania,berlín
Armenia,ereván
Austria,viena
Azerbaiyán,bakú
Bélgica,bruselas
Bielorrusia,minsk
Bosnia y Herzegovina,sarajevo
Bulgaria,sofía
Chipre,nicosia
Ciudad del Vaticano,ciudad del vaticano
Croacia,zagreb
Dinamarca,copenhague
Eslovaquia,bratislava
Eslovenia,liubliana
España,madrid
Estonia,tallín
Finlandia,helsinki
Francia,parís
Georgia,tiflis
Grecia,atenas
Hungría,budapest
Irlanda,dublín
Islandia,reikiavik
Italia,roma
Kazajistán,astaná
Letonia,riga
Liechtenstein,vaduz
Lituania,vilna
Luxemburgo,luxemburgo
Macedonia del Norte,skopie
Malta,la valeta
Moldavia,chisinau
Mónaco,mónaco
Montenegro,podgorica
Noruega,oslo
Países Bajos,amsterdam
Polonia,varsovia
Portugal,lisboa
Reino Unido,londres
República Checa,praga
Rumanía,bucarest
Rusia,moscú
San Marino,san marino
Serbia,belgrado
Suecia,estocolmo
Suiza,berna
Turquía,ankara
Ucrania,kiev
